timestamp,price
2024-06-05 23:59:59.999,71108.00000000
2024-06-06 23:59:59.999,70799.06000000
2024-06-07 23:59:59.999,69355.60000000
2024-06-08 23:59:59.999,69310.46000000
2024-06-09 23:59:59.999,69648.14000000
2024-06-10 23:59:59.999,69540.00000000
2024-06-11 23:59:59.999,67314.24000000
2024-06-12 23:59:59.999,68263.99000000
2024-06-13 23:59:59.999,66773.01000000
2024-06-14 23:59:59.999,66043.99000000
2024-06-15 23:59:59.999,66228.25000000
2024-06-16 23:59:59.999,66676.87000000
2024-06-17 23:59:59.999,66504.33000000
2024-06-18 23:59:59.999,65175.32000000
2024-06-19 23:59:59.999,64974.37000000
2024-06-20 23:59:59.999,64869.99000000
2024-06-21 23:59:59.999,64143.56000000
2024-06-22 23:59:59.999,64262.01000000
2024-06-23 23:59:59.999,63210.01000000
2024-06-24 23:59:59.999,60293.30000000
2024-06-25 23:59:59.999,61806.01000000
2024-06-26 23:59:59.999,60864.99000000
2024-06-27 23:59:59.999,61706.47000000
2024-06-28 23:59:59.999,60427.84000000
2024-06-29 23:59:59.999,60986.68000000
2024-06-30 23:59:59.999,62772.01000000
2024-07-01 23:59:59.999,62899.99000000
2024-07-02 23:59:59.999,62135.47000000
2024-07-03 23:59:59.999,60208.58000000
2024-07-04 23:59:59.999,57050.01000000
2024-07-05 23:59:59.999,56628.79000000
2024-07-06 23:59:59.999,58230.13000000
2024-07-07 23:59:59.999,55857.81000000
2024-07-08 23:59:59.999,56714.62000000
2024-07-09 23:59:59.999,58050.00000000
2024-07-10 23:59:59.999,57725.85000000
2024-07-11 23:59:59.999,57339.89000000
2024-07-12 23:59:59.999,57889.10000000
2024-07-13 23:59:59.999,59204.02000000
2024-07-14 23:59:59.999,60797.91000000
2024-07-15 23:59:59.999,64724.14000000
2024-07-16 23:59:59.999,65043.99000000
2024-07-17 23:59:59.999,64087.99000000
2024-07-18 23:59:59.999,63987.92000000
2024-07-19 23:59:59.999,66660.00000000
2024-07-20 23:59:59.999,67139.96000000
2024-07-21 23:59:59.999,68165.34000000
2024-07-22 23:59:59.999,67532.01000000
